Zip,Total_Population,Male_Population,Female_Population
11518,10390,4389,6001
11520,44873,22475,22398
11530,28041,13656,14385
11542,29020,13884,15136
11545,11963,5780,6183
11547,788,397,391
11548,2171,1067,1104
11549,2420,984,1436
11550,60658,29382,31276
11552,26053,12692,13361
11553,28344,13894,14450
11554,35806,16314,19492
11556,0,0,0
11557,8503,4241,4262
11558,8532,4246,4286
11559,9130,4579,4551
11560,6951,3570,3381
11561,38847,19907,18940
11563,22558,10615,11943
11565,8908,4425,4483
11566,35172,17763,17409
11568,4198,1967,2231
11569,996,494,502
11570,28162,13863,14299
11572,30627,16150,14477
11575,19430,9209,10221
11576,12796,6213,6583
11577,12771,6136,6635
11579,5037,2252,2785
11580,42644,20524,22120
11581,22652,10726,11926
11590,48243,24223,24020
11596,10378,5242,5136
11598,14316,6900,7416
11691,68704,32729,35975
11692,23247,11041,12206
11693,13066,5493,7573
11694,21430,10315,11115
11697,4123,1933,2190
11701,28174,13353,14821
11702,14002,6749,7253
11703,17205,8926,8279
11704,40285,19599,20686
11705,8256,4185,4071
11706,68648,34463,34185
11709,6744,3157,3587
11710,34459,17436,17023
11713,9236,4659,4577
11714,22475,10857,11618
11715,3796,1817,1979
11716,9750,5213,4537
11718,3185,1520,1665
11719,3300,1543,1757
11720,28669,14249,14420
11721,6620,3331,3289
11722,38443,19332,19111
11724,2956,1564,1392
11725,29050,14455,14595
11726,21940,10998,10942
11727,29393,14251,15142
11729,26647,12757,13890
11730,14376,6984,7392
11731,29891,14767,15124
11732,3546,1444,2102
11733,17403,8976,8427
11735,32778,16118,16660
11738,20246,11089,9157
11739,1191,537,654
11740,10699,5159,5540
11741,26356,12683,13673
11742,13194,6509,6685
11743,42423,21131,21292
11746,66883,34301,32582
11747,19826,9003,10823
11749,3581,1757,1824
11751,13152,6456,6696
11752,8990,4531,4459
11753,12729,5944,6785
11754,17660,8571,9089
11755,11953,6157,5796
11756,42553,20906,21647
11757,44571,22637,21934
11758,54741,26726,28015
11762,22447,11134,11313
11763,30235,14763,15472
11764,12530,6028,6502
11765,808,422,386
11766,11481,5590,5891
11767,14495,7623,6872
11768,21908,10685,11223
11769,9031,4386,4645
11770,124,82,42
11771,10173,4988,5185
11772,45006,21340,23666
11776,23629,10695,12934
11777,9347,4475,4872
11778,12919,6271,6648
11779,38273,19306,18967
11780,15586,7354,8232
11782,14537,7154,7383
11783,21588,11061,10527
11784,25986,13025,12961
11786,6348,3283,3065
11787,34656,17158,17498
11788,17092,8395,8697
11789,7447,3439,4008
11790,19934,10216,9718
11791,25194,12557,12637
11792,8562,4202,4360
11793,31497,15940,15557
11794,1519,817,702
11795,25063,13095,11968
11796,3715,1772,1943
11797,9338,4424,4914
11801,41792,21302,20490
11803,30219,14759,15460
11804,4613,2292,2321
11901,32921,17269,15652
11930,689,309,380
11931,24,13,11
11932,696,395,301
11933,6784,3598,3186
11934,8222,3836,4386
11935,2946,1489,1457
11937,21806,10244,11562
11939,1741,758,983
11940,5508,2845,2663
11941,2472,1209,1263
11942,5871,2699,3172
11944,4744,2299,2445
11946,17303,9190,8113
11947,248,114,134
11948,775,394,381
11949,13159,6821,6338
11950,16944,8619,8325
11951,15830,6947,8883
11952,4749,2283,2466
11953,13383,6412,6971
11954,4073,2195,1878
11955,2626,1248,1378
11956,293,143,150
11957,1152,524,628
11958,864,513,351
11959,576,228,348
11960,1037,474,563
11961,12436,5723,6713
11962,546,244,302
11963,8114,3999,4115
11964,2858,1363,1495
11965,421,165,256
11967,27266,13997,13269
11968,14263,7005,7258
11970,468,266,202
11971,6507,3265,3242
11972,309,11,298
11973,42,35,7
11975,423,244,179
11976,2447,1118,1329
11977,2782,1175,1607
11978,4376,2246,2130
11980,5138,2558,2580
12007,314,204,110
12008,610,360,250
12009,8068,3978,4090
12010,27339,13770,13569
12015,4084,2023,2061
12017,439,199,240
12018,7069,3719,3350
12019,15683,7884,7799
12020,34140,17002,17138
12022,1069,505,564
12023,2364,1189,1175
12024,80,44,36
12025,5278,2643,2635
12027,4706,2059,2647
12028,1132,648,484
12029,1017,527,490
12031,224,127,97
12032,710,295,415
12033,7772,3798,3974
12035,455,227,228
12036,335,153,182
12037,4045,1893,2152
12040,29,25,4
12041,353,171,182
12042,286,136,150
12043,7883,3837,4046
12045,237,122,115
12046,612,299,313
12047,23406,10635,12771
12051,5706,3808,1898
12052,1931,885,1046
12053,4325,2325,2000
12054,16988,8211,8777
12056,1818,919,899
12057,1966,1120,846
12058,1451,872,579
12059,1531,804,727
12060,1768,902,866
12061,9778,5174,4604
12062,1723,950,773
12063,745,271,474
12064,314,160,154
12065,44726,21924,22802
12066,1830,891,939
12067,1250,461,789
12068,2717,1173,1544
12069,387,176,211
12070,2404,1326,1078
12071,221,116,105
12072,3019,1482,1537
12074,2833,1570,1263
12075,3147,1511,1636
12076,1316,673,643
12077,6733,3189,3544
12078,23087,11273,11814
12082,3,3,0
12083,3648,1777,1871
12084,5054,2713,2341
12085,309,177,132
12086,1644,679,965
12087,1678,830,848
12090,5874,2691,3183
12092,1423,784,639
12093,1258,688,570
12094,2560,1249,1311
12095,12013,6136,5877
12106,1963,1005,958
12108,396,203,193
12110,19969,10036,9933
12115,62,42,20
12116,1533,575,958
12117,2841,1425,1416
12118,17056,8657,8399
12120,596,279,317
12121,2325,1212,1113
12122,3555,1792,1763
12123,4853,2429,2424
12124,182,105,77
12125,1147,556,591
12130,305,114,191
12131,209,97,112
12132,129,74,55
12134,4093,2116,1977
12136,881,498,383
12137,2347,1057,1290
12138,2826,1461,1365
12139,243,110,133
12140,1526,697,829
12143,5462,2602,2860
12144,21631,10630,11001
12147,508,211,297
12148,4121,2049,2072
12149,2176,1028,1148
12150,665,299,366
12151,986,468,518
12153,751,396,355
12154,2875,1441,1434
12155,1812,876,936
12156,939,485,454
12157,4444,2334,2110
12158,6221,3261,2960
12159,8794,4080,4714
12160,735,376,359
12161,41,9,32
12164,520,252,268
12165,202,128,74
12166,1459,780,679
12167,2257,1091,1166
12168,1691,830,861
12169,407,206,201
12170,5225,2519,2706
12172,184,105,79
12173,2040,1052,988
12174,571,292,279
12175,725,377,348
12176,431,111,320
12177,361,122,239
12180,54071,27539,26532
12182,14273,6540,7733
12183,2966,1424,1542
12184,7547,3649,3898
12185,1699,969,730
12186,6608,3376,3232
12187,739,349,390
12188,11414,5699,5715
12189,18205,8414,9791
12190,683,331,352
12192,1033,644,389
12193,1829,995,834
12194,213,96,117
12195,155,67,88
12196,3848,1765,2083
12197,2275,1148,1127
12198,7337,3480,3857
12202,9500,4819,4681
12203,30080,14395,15685
12204,8423,4025,4398
12205,25912,12644,13268
12206,14592,7514,7078
12207,2097,1219,878
12208,23936,10938,12998
12209,10754,5247,5507
12210,9725,5080,4645
12211,13800,6594,7206
12222,6494,2675,3819
12226,0,0,0
12302,27470,13193,14277
12303,29989,14536,15453
12304,22027,10563,11464
12305,7764,4117,3647
12306,27569,13725,13844
12307,7977,4006,3971
12308,13985,7078,6907
12309,32996,16594,16402
12401,35058,17241,17817
12404,4046,1784,2262
12405,449,230,219
12406,609,374,235
12407,197,109,88
12409,877,431,446
12410,379,226,153
12411,288,133,155
12412,603,367,236
12413,3406,1544,1862
12414,10034,5121,4913
12416,129,100,29
12417,984,441,543
12418,321,181,140
12419,1115,549,566
12420,435,219,216
12421,238,140,98
12422,469,181,288
12423,1033,586,447
12424,242,175,67
12427,926,349,577
12428,6972,3389,3583
12429,168,149,19
12430,1232,442,790
12431,1705,891,814
12432,654,281,373
12433,525,245,280
12434,892,433,459
12435,181,105,76
12436,516,253,263
12438,71,26,45
12439,380,213,167
12440,1577,781,796
12441,58,39,19
12442,425,200,225
12443,3601,1631,1970
12444,519,333,186
12446,5232,2525,2707
12448,163,111,52
12449,2916,1448,1468
12450,200,100,100
12451,849,416,433
12452,33,19,14
12453,212,91,121
12454,368,203,165
12455,1859,971,888
12456,666,403,263
12457,1171,576,595
12458,3195,2271,924
12459,73,35,38
12460,161,87,74
12461,1426,755,671
12463,1531,600,931
12464,1071,598,473
12465,329,220,109
12466,1947,1096,851
12468,1413,748,665
12469,842,471,371
12470,651,271,380
12471,274,23,251
12472,1118,580,538
12473,693,347,346
12474,891,389,502
12475,569,426,143
12477,18789,9192,9597
12480,499,285,214
12481,1359,692,667
12482,601,302,299
12483,59,21,38
12484,3271,1449,1822
12485,1136,507,629
12486,1737,826,911
12487,3829,1993,1836
12489,114,22,92
12490,0,0,0
12491,2017,983,1034
12492,213,124,89
12493,343,278,65
12494,876,500,376
12495,229,146,83
12496,1241,585,656
12498,4530,2205,2325
12501,2374,1204,1170
12502,1019,562,457
12503,750,355,395
12504,1057,417,640
12507,279,134,145
12508,19519,9997,9522
12512,232,113,119
12513,198,119,79
12514,3120,1575,1545
12515,1483,762,721
12516,1748,902,846
12517,270,117,153
12518,5728,2742,2986
12520,3088,1482,1606
12521,1874,872,1002
